iteracion,max_depth,min_child_weight,subsample,colsample_bytree,eta,gamma,lambda,alpha,optntrees,minerror,sensibilidad,kappa
253,2,1,0.7,0.6,0.01,0.1,0.1,0.001,83,0.6516718329489232,0.34210526315789475,0.392023346303502
254,2,1,0.7,0.6,0.01,0.1,0.1,0.01,83,0.651337726265192,0.34210526315789475,0.392023346303502
255,2,1,0.7,0.6,0.01,0.1,0.1,0.1,82,0.65166681304574,0.3026315789473684,0.3498527968596664
256,2,1,0.7,0.6,0.01,0.1,0.1,1,99,0.6493345076590776,0.32894736842105265,0.3780487804878049
257,2,1,0.7,0.6,0.01,0.1,0.1,10,10,0.6725274862349033,0.0,0.0
258,2,1,0.7,0.6,0.01,0.1,0.1,100,1,0.672785379588604,0.0,0.0
259,2,1,0.7,0.6,0.01,0.1,1,0,99,0.6493166916817428,0.35526315789473684,0.40591658583899115
260,2,1,0.7,0.6,0.01,0.1,1,0.001,99,0.6493189629912377,0.35526315789473684,0.40591658583899115
261,2,1,0.7,0.6,0.01,0.1,1,0.01,99,0.6493226520717144,0.35526315789473684,0.40591658583899115
262,2,1,0.7,0.6,0.01,0.1,1,0.1,99,0.6501400139182806,0.34210526315789475,0.392023346303502
263,2,1,0.7,0.6,0.01,0.1,1,1,82,0.6549643033742905,0.19736842105263158,0.23366834170854267
264,2,1,0.7,0.6,0.01,0.1,1,10,10,0.6725425916910172,0.0,0.0
265,2,1,0.7,0.6,0.01,0.1,1,100,1,0.672785379588604,0.0,0.0
266,2,1,0.7,0.6,0.01,0.1,10,0,82,0.6606471818685531,0.039473684210526314,0.04848800834202294
267,2,1,0.7,0.6,0.01,0.1,10,0.001,82,0.6606483717262744,0.039473684210526314,0.04848800834202294
268,2,1,0.7,0.6,0.01,0.1,10,0.01,82,0.6607517297565936,0.039473684210526314,0.04848800834202294
269,2,1,0.7,0.6,0.01,0.1,10,0.1,82,0.6608328557014465,0.039473684210526314,0.04848800834202294
270,2,1,0.7,0.6,0.01,0.1,10,1,82,0.6614029221236707,0.02631578947368421,0.0324267782426777
